Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
54107,3.0,1,1,1
8802,3.0,1,1,1
8803,3.0,1,1,1
2752,3.0,1,1,1
2181,3.0,1,1,1
374291,3.0,1,1,1
25885,3.0,1,1,1
5431,3.0,1,1,1
11019,3.0,1,1,1
137964,3.0,1,1,1
56052,3.0,1,1,1
661,3.0,1,1,1
102157402,3.0,1,1,1
94005,3.0,1,1,1
2937,3.0,1,1,1
2678,3.0,1,1,1
57016,3.0,1,1,1
4702,3.0,1,1,1
54344,3.0,1,1,1
1371,3.0,1,1,1
445,3.0,1,1,1
414328,3.0,1,1,1
5422,3.0,1,1,1
2342,3.0,1,1,1
262,3.0,1,1,1
6652,3.0,1,1,1
6723,3.0,1,1,1
4128,3.0,1,1,1
79888,3.0,1,1,1
11181,3.0,1,1,1
29880,3.0,1,1,1
1352,3.0,1,1,1
7264,3.0,1,1,1
84076,3.0,1,1,1
1119,3.0,1,1,1
7388,3.0,1,1,1
29796,3.0,1,1,1
4524,3.0,1,1,1
3422,3.0,1,1,1
7498,3.0,1,1,1
1503,3.0,1,1,1
4724,3.0,1,1,1
30834,3.0,1,1,1
527,3.0,1,1,1
516,3.0,1,1,1
4715,3.0,1,1,1
5498,3.0,1,1,1
4141,3.0,1,1,1
284098,3.0,1,1,1
498,3.0,1,1,1
54965,3.0,1,1,1
479,3.0,1,1,1
5297,3.0,1,1,1
5281,3.0,1,1,1
9091,3.0,1,1,1
2954,3.0,1,1,1
4700,3.0,1,1,1
201595,3.0,1,1,1
23649,3.0,1,1,1
55967,3.0,1,1,1
10901,3.0,1,1,1
10715,3.0,1,1,1
2224,3.0,1,1,1
4537,3.0,1,1,1
79868,3.0,1,1,1
130589,3.0,1,1,1
221830,3.0,1,1,1
10588,3.0,1,1,1
29929,3.0,1,1,1
23175,3.0,1,1,1
2643,3.0,1,1,1
3712,3.0,1,1,1
55191,3.0,1,1,1
4247,3.0,1,1,1
23743,3.0,1,1,1
8500,3.0,1,1,1
2639,3.0,1,1,1
5558,3.0,1,1,1
54205,3.0,1,1,1
4351,3.0,1,1,1
3156,3.0,1,1,1
139596,3.0,1,1,1
23498,3.0,1,1,1
4144,3.0,1,1,1
2805,3.0,1,1,1
84920,3.0,1,1,1
6472,3.0,1,1,1
22934,3.0,1,1,1
2819,3.0,1,1,1
6184,3.0,1,1,1
51733,3.0,1,1,1
2731,3.0,1,1,1
23556,3.0,1,1,1
2597,3.0,1,1,1
8560,3.0,1,1,1
158,3.0,1,1,1
79158,3.0,1,1,1
51727,3.0,1,1,1
4706,3.0,1,1,1
3157,3.0,1,1,1
4535,3.0,1,1,1
2235,3.0,1,1,1
4048,3.0,1,1,1
64902,3.0,1,1,1
5723,3.0,1,1,1
10476,3.0,1,1,1
10157,3.0,1,1,1
283459,3.0,1,1,1
8801,3.0,1,1,1
3242,3.0,1,1,1
1040,3.0,1,1,1
57704,3.0,1,1,1
633,3.0,1,1,1
9487,3.0,1,1,1
4723,3.0,1,1,1
34,3.0,1,1,1
4508,3.0,1,1,1
593,3.0,1,1,1
10621,3.0,1,1,1
23463,3.0,1,1,1
509,3.0,1,1,1
31,3.0,1,1,1
4514,3.0,1,1,1
6389,3.0,1,1,1
4669,3.0,1,1,1
5625,3.0,1,1,1
4536,3.0,1,1,1
9354,3.0,1,1,1
253430,3.0,1,1,1
5279,3.0,1,1,1
594,3.0,1,1,1
98,3.0,1,1,1
4713,3.0,1,1,1
27010,3.0,1,1,1
8992,3.0,1,1,1
1719,3.0,1,1,1
5162,3.0,1,1,1
23475,3.0,1,1,1
1807,3.0,1,1,1
8639,3.0,1,1,1
2184,3.0,1,1,1
3704,3.0,1,1,1
8813,3.0,1,1,1
80146,3.0,1,1,1
51004,3.0,1,1,1
7371,3.0,1,1,1
8867,3.0,1,1,1
6392,3.0,1,1,1
200576,3.0,1,1,1
5536,3.0,1,1,1
9489,3.0,1,1,1
11128,3.0,1,1,1
4860,3.0,1,1,1
2098,3.0,1,1,1
5980,3.0,1,1,1
51477,3.0,1,1,1
8818,3.0,1,1,1
64425,3.0,1,1,1
23205,3.0,1,1,1
4519,3.0,1,1,1
1798,3.0,1,1,1
9942,3.0,1,1,1
440,3.0,1,1,1
54995,3.0,1,1,1
128,3.0,1,1,1
3714,3.0,1,1,1
5832,3.0,1,1,1
1629,3.0,1,1,1
2571,3.0,1,1,1
5434,3.0,1,1,1
4248,3.0,1,1,1
3939,3.0,1,1,1
9588,3.0,1,1,1
4716,3.0,1,1,1
8877,3.0,1,1,1
4698,3.0,1,1,1
5256,3.0,1,1,1
5644,3.0,1,1,1
129607,3.0,1,1,1
51082,3.0,1,1,1
54360,3.0,1,1,1
55650,3.0,1,1,1
23193,3.0,1,1,1
271,3.0,1,1,1
47,3.0,1,1,1
495,3.0,1,1,1
5373,3.0,1,1,1
2875,3.0,1,1,1
7306,3.0,1,1,1
64802,3.0,1,1,1
2356,3.0,1,1,1
9562,3.0,1,1,1
5471,3.0,1,1,1
2531,3.0,1,1,1
5438,3.0,1,1,1
2645,3.0,1,1,1
2744,3.0,1,1,1
4719,3.0,1,1,1
55349,3.0,1,1,1
622,3.0,1,1,1
10269,3.0,1,1,1
1854,3.0,1,1,1
3418,3.0,1,1,1
1337,3.0,1,1,1
5009,3.0,1,1,1
10423,3.0,1,1,1
7358,3.0,1,1,1
6185,3.0,1,1,1
138050,3.0,1,1,1
501,3.0,1,1,1
7386,3.0,1,1,1
5320,3.0,1,1,1
5238,3.0,1,1,1
2737,3.0,1,1,1
79053,3.0,1,1,1
7360,3.0,1,1,1
27349,3.0,1,1,1
2339,3.0,1,1,1
6240,3.0,1,1,1
5053,3.0,1,1,1
6390,3.0,1,1,1
1841,3.0,1,1,1
5441,3.0,1,1,1
95,3.0,1,1,1
1737,3.0,1,1,1
4942,3.0,1,1,1
38,3.0,1,1,1
522,3.0,1,1,1
4513,3.0,1,1,1
2023,3.0,1,1,1
23559,3.0,1,1,1
8733,3.0,1,1,1
22845,3.0,1,1,1
8760,3.0,1,1,1
65220,3.0,1,1,1
27018,3.0,1,1,1
5437,3.0,1,1,1
5198,3.0,1,1,1
5440,3.0,1,1,1
85465,3.0,1,1,1
79717,3.0,1,1,1
51776,3.0,1,1,1
171568,3.0,1,1,1
6709,3.0,1,1,1
84284,3.0,1,1,1
85365,3.0,1,1,1
3988,3.0,1,1,1
2806,3.0,1,1,1
4512,3.0,1,1,1
5160,3.0,1,1,1
54802,3.0,1,1,1
84245,3.0,1,1,1
9054,3.0,1,1,1
529,3.0,1,1,1
5430,3.0,1,1,1
10622,3.0,1,1,1
5436,3.0,1,1,1
51805,3.0,1,1,1
53947,3.0,1,1,1
6117,3.0,1,1,1
590,3.0,1,1,1
283871,3.0,1,1,1
275,3.0,1,1,1
211,3.0,1,1,1
8833,3.0,1,1,1
471,3.0,1,1,1
528,3.0,1,1,1
1215,3.0,1,1,1
5426,3.0,1,1,1
7991,3.0,1,1,1
191,3.0,1,1,1
1644,3.0,1,1,1
2653,3.0,1,1,1
493911,3.0,1,1,1
84274,3.0,1,1,1
51079,3.0,1,1,1
132158,3.0,1,1,1
218,3.0,1,1,1
9296,3.0,1,1,1
132,3.0,1,1,1
26227,3.0,1,1,1
9061,3.0,1,1,1
2821,3.0,1,1,1
533,3.0,1,1,1
55748,3.0,1,1,1
5230,3.0,1,1,1
2058,3.0,1,1,1
3614,3.0,1,1,1
5236,3.0,1,1,1
199857,3.0,1,1,1
10063,3.0,1,1,1
11112,3.0,1,1,1
51604,3.0,1,1,1
4191,3.0,1,1,1
51144,3.0,1,1,1
223,3.0,1,1,1
4598,3.0,1,1,1
8694,3.0,1,1,1
1353,3.0,1,1,1
51005,3.0,1,1,1
65057,3.0,1,1,1
1607,3.0,1,1,1
506,3.0,1,1,1
534,3.0,1,1,1
7390,3.0,1,1,1
4190,3.0,1,1,1
3145,3.0,1,1,1
51534,3.0,1,1,1
5435,3.0,1,1,1
767,3.0,1,1,1
6241,3.0,1,1,1
5742,3.0,1,1,1
5424,3.0,1,1,1
10380,3.0,1,1,1
7389,3.0,1,1,1
27235,3.0,1,1,1
3155,3.0,1,1,1
1606,3.0,1,1,1
81889,3.0,1,1,1
51382,3.0,1,1,1
2720,3.0,1,1,1
189,3.0,1,1,1
2695,3.0,1,1,1
4728,3.0,1,1,1
9986,3.0,1,1,1
2203,3.0,1,1,1
79947,3.0,1,1,1
1806,3.0,1,1,1
84890,3.0,1,1,1
25796,3.0,1,1,1
2271,3.0,1,1,1
5091,3.0,1,1,1
2710,3.0,1,1,1
64768,3.0,1,1,1
5433,3.0,1,1,1
1723,3.0,1,1,1
51227,3.0,1,1,1
55278,3.0,1,1,1
1603,3.0,1,1,1
79796,3.0,1,1,1
8566,3.0,1,1,1
3417,3.0,1,1,1
8310,3.0,1,1,1
55577,3.0,1,1,1
7841,3.0,1,1,1
2987,3.0,1,1,1
3141,3.0,1,1,1
847,3.0,1,1,1
10632,3.0,1,1,1
4726,3.0,1,1,1
782,3.0,1,1,1
6675,3.0,1,1,1
5439,3.0,1,1,1
5427,3.0,1,1,1
1431,3.0,1,1,1
3251,3.0,1,1,1
10026,3.0,1,1,1
84720,3.0,1,1,1
6898,3.0,1,1,1
5813,3.0,1,1,1
280,3.0,1,1,1
93100,3.0,1,1,1
496,3.0,1,1,1
6821,3.0,1,1,1
9600,3.0,1,1,1
10623,3.0,1,1,1
353,3.0,1,1,1
435,3.0,1,1,1
5283,3.0,1,1,1
10714,3.0,1,1,1
51102,3.0,1,1,1
4357,3.0,1,1,1
210,3.0,1,1,1
7381,3.0,1,1,1
4338,3.0,1,1,1
51218,3.0,1,1,1
1738,3.0,1,1,1
5130,3.0,1,1,1
7086,3.0,1,1,1
5277,3.0,1,1,1
9533,3.0,1,1,1
6470,3.0,1,1,1
23417,3.0,1,1,1
314,3.0,1,1,1
7298,3.0,1,1,1
5188,3.0,1,1,1
56624,3.0,1,1,1
3067,3.0,1,1,1
549,3.0,1,1,1
514,3.0,1,1,1
4694,3.0,1,1,1
26275,3.0,1,1,1
6391,3.0,1,1,1
1743,3.0,1,1,1
539,3.0,1,1,1
1355,3.0,1,1,1
2673,3.0,1,1,1
5226,3.0,1,1,1
27,3.0,1,1,1
10243,3.0,1,1,1
8879,3.0,1,1,1
55256,3.0,1,1,1
10439,3.0,1,1,1
55163,3.0,1,1,1
80142,3.0,1,1,1
9524,3.0,1,1,1
5833,3.0,1,1,1
81888,3.0,1,1,1
2158,3.0,1,1,1
84172,3.0,1,1,1
55500,3.0,1,1,1
7263,3.0,1,1,1
2632,3.0,1,1,1
100,3.0,1,1,1
1329,3.0,1,1,1
440138,3.0,1,1,1
4477,3.0,1,1,1
51495,3.0,1,1,1
5213,3.0,1,1,1
4597,3.0,1,1,1
978,3.0,1,1,1
3628,3.0,1,1,1
4123,3.0,1,1,1
5425,3.0,1,1,1
2582,3.0,1,1,1
551,3.0,1,1,1
9488,3.0,1,1,1
5223,3.0,1,1,1
23659,3.0,1,1,1
10195,3.0,1,1,1
4729,3.0,1,1,1
79087,3.0,1,1,1
5298,3.0,1,1,1
23761,3.0,1,1,1
51,3.0,1,1,1
3081,3.0,1,1,1
4695,3.0,1,1,1
128869,3.0,1,1,1
7167,3.0,1,1,1
3612,3.0,1,1,1
2592,3.0,1,1,1
6120,3.0,1,1,1
29968,3.0,1,1,1
6118,3.0,1,1,1
83594,3.0,1,1,1
5432,3.0,1,1,1
1537,3.0,1,1,1
93183,3.0,1,1,1
2539,3.0,1,1,1
159,3.0,1,1,1
4953,3.0,1,1,1
4725,3.0,1,1,1
1340,3.0,1,1,1
4668,3.0,1,1,1
4329,3.0,1,1,1
5557,3.0,1,1,1
9615,3.0,1,1,1
5033,3.0,1,1,1
4245,3.0,1,1,1
5289,3.0,1,1,1
513,3.0,1,1,1
4967,3.0,1,1,1
60490,3.0,1,1,1
2762,3.0,1,1,1
8772,3.0,1,1,1
51728,3.0,1,1,1
55703,3.0,1,1,1
7372,3.0,1,1,1
7378,3.0,1,1,1
259197,3.0,1,1,1
4704,3.0,1,1,1
1804,2.0,1,0,1
5814,2.0,1,0,1
10726,2.0,1,0,1
1485,2.0,1,0,1
90780,2.0,1,0,1
5624,2.0,1,0,1
2657,2.0,1,0,1
164091,2.0,1,0,1
7012,2.0,1,1,0
131405,2.0,1,0,1
5662,2.0,1,0,1
55554,2.0,1,0,1
653639,1.0,1,0,0
7909,1.0,1,0,0
3258,1.0,1,0,0
3989,1.0,1,0,0
100682260,1.0,1,0,0
