"ID","Hits","Indirect hits","Conflicts"
"K00665","39","0","36"
"K01782","21","0","19"
"K09458","18","0","18"
"K00647","18","0","18"
"K07515","17","0","17"
"K07508","13","0","2"
"K07509","13","0","2"
"K00249","11","0","9"
"K07511","11","0","11"
"K01692","11","0","11"
"K00232","10","0","7"
"K00059","9","0","7"
"K00940","9","0","0"
"K00128","9","0","6"
"K02372","9","0","7"
"K00208","9","0","7"
"K03783","9","0","1"
"K00812","8","0","8"
"K00274","8","0","1"
"K14455","8","0","7"
"K14085","8","0","7"
"K14454","8","0","7"
"K05550","7","0","0"
"K01716","7","0","7"
"K11751","7","0","7"
"K03787","7","0","7"
"K05549","7","0","0"
"K05784","7","0","0"
"K01081","7","0","7"
"K02527","6","0","0"
"K19970","6","0","6"
"K05783","6","0","0"
"K00804","6","0","4"
"K00288","6","0","6"
"K00615","6","0","0"
"K00129","6","0","1"
"K12309","6","0","3"
"K07512","6","0","6"
"K01623","5","0","5"
"K13953","5","0","5"
"K00446","5","0","0"
"K01047","5","0","0"
"K16343","5","0","0"
"K00001","5","0","5"
"K12373","5","0","1"
"K07104","5","0","0"
"K11787","5","0","5"
"K01624","5","0","5"
"K00873","5","0","1"
"K11645","5","0","5"
"K00121","5","0","5"
"K00993","5","0","1"
"K03022","4","0","4"
"K03006","4","0","4"
"K02338","4","0","4"
"K03010","4","0","4"
"K00788","4","0","0"
"K02111","4","0","2"
"K09478","4","0","4"
"K03009","4","0","4"
"K00965","4","0","1"
"K03046","4","0","4"
"K02320","4","0","4"
"K02257","4","0","4"
"K03020","4","0","4"
"K01563","4","0","0"
"K00505","4","0","0"
"K03015","4","0","4"
"K03506","4","0","4"
"K03000","4","0","4"
"K02109","4","0","2"
"K02259","4","0","3"
"K03504","4","0","4"
"K03025","4","0","4"
"K03021","4","0","4"
"K02339","4","0","4"
"K02684","4","0","4"
"K03019","4","0","4"
"K02341","4","0","4"
"K02325","4","0","4"
"K03016","4","0","4"
"K10808","4","0","3"
"K02115","4","0","2"
